Running "size_report:before" (size_report) task

~~~~~~~~~~~
Size report
~~~~~~~~~~~

Filename                                                                                                Size          %
3.9custom/dojox/mobile/themes/iphone/iphone_rtl.css                                                    6.5 KiB     0.1%
3.9custom/esri/dijit/editing/images/toolbar_icons.png                                                  6.4 KiB     0.1%
3.9custom/dojox/widget/Calendar/Calendar.css                                                           6.4 KiB     0.0%
3.9custom/dijit/themes/claro/form/Common.css                                                           6.3 KiB     0.0%
3.9custom/dijit/themes/claro/Toolbar.less                                                              6.3 KiB     0.0%
3.9custom/dijit/themes/nihilo/nihilo_rtl.css                                                           6.2 KiB     0.0%
3.9custom/dijit/themes/soria/soria_rtl.css                                                             6.2 KiB     0.0%
3.9custom/esri/dijit/geoenrichment/themes/common/images/OneVar.png                                     6.2 KiB     0.0%
3.9custom/dojox/mobile/themes/common/TabBar.less                                                       6.1 KiB     0.0%
3.9custom/dojox/mobile/themes/iphone/Opener.css                                                        5.9 KiB     0.0%
3.9custom/dojox/av/widget/resources/images/player_sprite.png                                           5.9 KiB     0.0%
3.9custom/dojox/mobile/themes/blackberry/blackberry_rtl.css                                            5.9 KiB     0.0%
3.9custom/dijit/themes/claro/Menu.less                                                                 5.9 KiB     0.0%
3.9custom/dojox/mobile/themes/common/domButtons                                                        5.7 KiB     0.0%
3.9custom/dojox/av/widget/resources/images/dojoPlayerIcons.png                                         5.6 KiB     0.0%
3.9custom/dijit/themes/claro/Dialog.less                                                               5.4 KiB     0.0%
3.9custom/dojox/mobile/themes/windows/Tooltip.css                                                      5.3 KiB     0.0%
3.9custom/dojox/editor/plugins/resources/emoticons/emoticonOops.gif                                    5.3 KiB     0.0%
3.9custom/dojox/mobile/themes/android/Opener.css                                                       5.3 KiB     0.0%
3.9custom/dojox/mobile/themes/holodark/Opener.css                                                      5.3 KiB     0.0%
3.9custom/dojox/layout/resources/ExpandoPane.css                                                       5.3 KiB     0.0%
3.9custom/dojox/flash/DojoExternalInterface.as                                                         5.3 KiB     0.0%
3.9custom/esri/css/jsapi.css                                                                           5.3 KiB     0.0%
3.9custom/dojox/grid/enhanced/resources/Filter.css                                                     5.3 KiB     0.0%
3.9custom/esri/dijit/images/Directions/print-logo.png                                                  5.2 KiB     0.0%
3.9custom/dojox/mobile/themes/blackberry/Opener.css                                                    5.2 KiB     0.0%
3.9custom/esri/dijit/geoenrichment/themes/common/images/grayProcessing.gif                             5.2 KiB     0.0%
3.9custom/esri/dijit/geoenrichment/themes/light/images/largeBusy.gif                                   5.2 KiB     0.0%
3.9custom/esri/dijit/geoenrichment/themes/light/images/grayProcessing.gif                              5.2 KiB     0.0%
3.9custom/esri/dijit/geoenrichment/themes/common/images/largeBusy.gif                                  5.2 KiB     0.0%
3.9custom/dojox/mobile/themes/custom/Opener.css                                                        5.2 KiB     0.0%
3.9custom/dijit/themes/claro/form/Button.less                                                          5.1 KiB     0.0%
3.9custom/dojox/grid/enhanced/resources/Sorter.css                                                     5.0 KiB     0.0%
3.9custom/dijit/themes/tundra/layout/TabContainer.css                                                  5.0 KiB     0.0%
3.9custom/dijit/themes/tundra/tundra_rtl.css                                                           5.0 KiB     0.0%
3.9custom/dojox/mobile/themes/iphone/DatePicker.css                                                    4.9 KiB     0.0%
3.9custom/dojox/mobile/themes/iphone/TimePicker.css                                                    4.9 KiB     0.0%
3.9custom/dojox/editor/plugins/resources/emoticons/emoticonCrying.gif                                  4.9 KiB     0.0%
3.9custom/dojox/widget/FilePicker/FilePicker.css                                                       4.9 KiB     0.0%
3.9custom/dijit/icons/images/commonIconsObjActDisabled_rtl.png                                         4.9 KiB     0.0%
3.9custom/dijit/icons/images/commonIconsObjActDisabled.png                                             4.8 KiB     0.0%
3.9custom/dojox/mobile/themes/windows/SpinWheel.css                                                    4.8 KiB     0.0%
3.9custom/dojox/mobile/themes/android/TimePicker.css                                                   4.7 KiB     0.0%
3.9custom/dojox/mobile/themes/android/DatePicker.css                                                   4.7 KiB     0.0%
3.9custom/esri/images/map/powered_by.png                                                               4.7 KiB     0.0%
3.9custom/dojox/mobile/themes/blackberry/TimePicker.css                                                4.7 KiB     0.0%
3.9custom/dojox/mobile/themes/blackberry/DatePicker.css                                                4.7 KiB     0.0%
3.9custom/dojox/mobile/themes/custom/DatePicker.css                                                    4.6 KiB     0.0%
3.9custom/dojox/mobile/themes/custom/TimePicker.css                                                    4.6 KiB     0.0%
3.9custom/dojox/mobile/themes/windows/Switch.css                                                       4.6 KiB     0.0%
3.9custom/dojox/drawing/resources/toolbar.css                                                          4.5 KiB     0.0%
3.9custom/dojox/image/resources/images/buttons.gif                                                     4.5 KiB     0.0%
3.9custom/dijit/themes/claro/form/NumberSpinner.less                                                   4.4 KiB     0.0%
3.9custom/dijit/themes/claro/layout/BorderContainer.less                                               4.4 KiB     0.0%
3.9custom/dojox/mobile/themes/iphone/Switch.css                                                        4.4 KiB     0.0%
